ID,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,X3PointShots,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.3PointShots,Opp.FreeThrows,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
691,BOS,69,2015/3/22,Home,DET,L,97,105,0.362,0.296,0.765,18,59,24,7,5,13,23,0.438,0.346,0.6,11,56,24,5,10,14,21
701,BOS,70,2015/3/23,Away,BRK,W,110,91,0.511,0.273,0.714,8,47,25,7,4,9,21,0.36,0.059,0.867,16,48,15,7,5,11,13
711,BOS,71,2015/3/25,Home,MIA,L,86,93,0.406,0.263,0.676,10,43,16,8,4,16,25,0.442,0.375,0.696,8,38,23,7,6,16,28
721,BOS,72,2015/3/27,Away,NYK,W,96,92,0.42,0.2,0.791,9,44,18,6,1,16,17,0.437,0.292,0.643,9,36,23,9,2,12,31
731,BOS,73,2015/3/29,Home,LAC,L,106,119,0.419,0.258,0.87,9,40,29,8,1,10,32,0.488,0.406,0.6,13,53,28,5,5,12,21
741,BOS,74,2015/3/30,Away,CHO,W,116,104,0.506,0.346,0.739,13,42,28,7,1,7,21,0.471,0.269,0.895,10,40,20,3,6,10,17
751,BOS,75,2015/4/1,Home,IND,W,100,87,0.453,0.222,0.889,7,46,29,9,2,10,23,0.42,0.4,0.565,8,39,17,5,3,12,20
761,BOS,76,2015/4/3,Home,MIL,L,101,110,0.443,0.333,0.938,9,41,19,7,2,16,20,0.529,0.375,0.611,9,45,31,10,6,18,20
771,BOS,77,2015/4/4,Away,TOR,W,117,116,0.485,0.308,0.682,12,44,26,10,4,15,28,0.482,0.261,0.789,9,46,15,7,4,16,22
781,BOS,78,2015/4/8,Away,DET,W,113,103,0.45,0.286,0.971,10,37,20,12,2,11,15,0.536,0.389,0.6,11,41,29,7,5,19,25
791,BOS,79,2015/4/10,Away,CLE,W,99,90,0.452,0.364,0.714,11,43,30,11,2,14,24,0.416,0.265,0.68,12,42,25,4,2,20,21
801,BOS,80,2015/4/12,Home,CLE,W,117,78,0.548,0.417,0.682,6,38,29,20,1,7,22,0.392,0.136,0.684,11,44,18,1,5,24,18
811,BOS,81,2015/4/14,Home,TOR,W,95,93,0.384,0.222,0.867,17,50,24,7,6,14,19,0.438,0.375,0.7,7,43,17,9,9,18,18
821,BOS,82,2015/4/15,Away,MIL,W,105,100,0.494,0.433,0.571,8,38,37,9,5,16,16,0.461,0.333,0.688,16,48,35,7,2,17,17
112,BRK,1,2014/10/29,Away,BOS,L,105,121,0.488,0.368,0.769,9,39,20,6,7,20,21,0.557,0.364,0.652,9,35,28,11,5,12,25
