Source,Target,Trade_Id,Bitcoins,Money,Money_Rate,Date
53,722,35644,10,7.699,0.7699,2011-04-04
53,3817,35645,21,16.065,0.765,2011-04-04
53,1868,35646,15,11.475,0.765,2011-04-04
53,512,35647,20.13,15.387,0.76438152,2011-04-04
53,3443,35648,100,76.23,0.7623,2011-04-04
53,2302,35649,1,0.761,0.761,2011-04-04
53,100,35650,19.88,15.114,0.760261569,2011-04-04
53,2185,35651,10,7.602,0.7602,2011-04-04
53,3443,35652,100,76.01,0.7601,2011-04-04
53,659,35653,333.983,253.827,0.75999976,2011-04-04
53,914,35654,200,152,0.76,2011-04-04
53,2496,35655,45,34.2,0.76,2011-04-04
53,3609,35656,10,7.6,0.76,2011-04-04
53,722,35657,10,7.6,0.76,2011-04-04
53,2513,35658,0.357,0.269,0.753501401,2011-04-04
53,3086,35659,46.96,35.454,0.754982964,2011-04-04
53,3443,35660,150,112.695,0.7513,2011-04-04
53,2708,35661,300,225.36,0.7512,2011-04-04
53,3403,35662,24.37,18.865,0.774107509,2011-04-04
53,2185,35663,12.984,9.738,0.75,2011-04-04
53,2596,35664,100,75,0.75,2011-04-04
53,914,35665,200,150,0.75,2011-04-04
53,2,35666,10,7.5,0.75,2011-04-04
53,2635,35667,107.29,80.467,0.74999534,2011-04-04
53,722,35668,10.281,7.71,0.74992705,2011-04-04
53,4139,35669,100,75,0.75,2011-04-04
53,512,35670,40.26,30.158,0.749080974,2011-04-04
53,512,35671,80.52,60.196,0.747590661,2011-04-04
53,100,35672,18.31,13.626,0.744183506,2011-04-04
53,2413,35673,78,58.032,0.744,2011-04-04
53,100,35674,10.11,7.512,0.743026706,2011-04-04
53,2429,35675,33.9,25.187,0.742979351,2011-04-04
53,3817,35676,30,22.266,0.7422,2011-04-04
53,247,35677,17,12.597,0.741,2011-04-04
53,2981,35678,56.3,41.663,0.740017762,2011-04-04
53,914,35679,200,148,0.74,2011-04-04
53,2981,35680,100,73.502,0.73502,2011-04-04
53,151,35681,101.157,74.35,0.734996095,2011-04-04
646,3239,35682,80.52,59.147,0.734562842,2011-04-04
53,3239,35683,65.062,47.792,0.73456088,2011-04-04
53,3239,35684,833.462,612.234,0.734567383,2011-04-04
53,512,35685,80.52,59.109,0.734090909,2011-04-04
53,512,35686,161.04,117.221,0.727899901,2011-04-04
53,646,35687,80.726,58.759,0.727881971,2011-04-04
53,602,35688,30,21.78,0.726,2011-04-04
53,956,35689,100,72.5,0.725,2011-04-04
53,293,35690,109.679,79.041,0.720657555,2011-04-04
100,4047,35691,13,9.811,0.754692308,2011-04-04
100,3443,35692,28.5,21.497,0.754280702,2011-04-04
100,3443,35693,43.76,33.012,0.754387569,2011-04-04
646,231,35694,244,182.999,0.749995902,2011-04-04
53,3353,35695,16.29,11.74,0.720687538,2011-04-04
53,293,35696,121.567,87.608,0.720656099,2011-04-04
53,3443,35697,70.275,50.64,0.720597652,2011-04-04
53,1375,35698,30,21.609,0.7203,2011-04-04
53,591,35699,254.522,183.258,0.720008486,2011-04-04
53,659,35700,200,144,0.72,2011-04-04
53,658,35701,500,360,0.72,2011-04-04
53,3985,35702,37,26.64,0.72,2011-04-04
53,2496,35703,8.478,6.104,0.719981128,2011-04-04
53,2496,35704,169.522,122.055,0.719995045,2011-04-04
53,2981,35705,100,71.502,0.71502,2011-04-04
53,602,35706,25,17.875,0.715,2011-04-04
53,646,35707,121.61,86.343,0.709999178,2011-04-04
53,1,35708,878.39,623.656,0.709998975,2011-04-04
53,646,35709,63.86,45.34,0.709990604,2011-04-04
53,1,35710,936.14,664.659,0.709999573,2011-04-04
53,1,35711,185.47,131.683,0.709996226,2011-04-04
53,367,35712,5.606,3.98,0.709953621,2011-04-04
53,1247,35713,259.845,184.489,0.709996344,2011-04-04
53,2579,35714,549.079,389.846,0.709999836,2011-04-04
53,2579,35715,125.921,89.403,0.709992773,2011-04-04
53,3470,35716,105,74.13,0.706,2011-04-04
53,646,35717,33.64,23.716,0.704994055,2011-04-04
53,658,35718,202.785,142.963,0.704997904,2011-04-04
293,658,35719,100,70.5,0.705,2011-04-04
293,658,35720,100,70.5,0.705,2011-04-04
293,658,35721,97.215,68.536,0.704994085,2011-04-04
293,646,35722,17.78,12.463,0.70095613,2011-04-04
293,3243,35723,82.22,57.636,0.700997324,2011-04-04
293,3243,35724,30.78,21.576,0.700974659,2011-04-04
293,2429,35725,69.22,48.523,0.700996822,2011-04-04
293,2429,35726,32.47,22.761,0.700985525,2011-04-04
293,2,35727,1.686,1.18,0.699881376,2011-04-04
293,1061,35728,29.886,20.92,0.699993308,2011-04-04
293,929,35729,68.428,47.899,0.699991232,2011-04-04
293,646,35730,19.9,13.949,0.700954774,2011-04-04
293,929,35731,42.572,29.8,0.699990604,2011-04-04
293,600,35732,57.428,40.199,0.699989552,2011-04-04
293,600,35733,100,70,0.7,2011-04-04
293,600,35734,100,70,0.7,2011-04-04
293,600,35735,42.572,29.8,0.699990604,2011-04-04
293,1280,35736,57.428,40.199,0.699989552,2011-04-04
293,1280,35737,100,70,0.7,2011-04-04
293,1280,35739,100,70,0.7,2011-04-04
293,1280,35740,100,70,0.7,2011-04-04
293,1280,35741,100,70,0.7,2011-04-04
293,1280,35743,100,70,0.7,2011-04-04
293,1280,35744,100,70,0.7,2011-04-04
293,1280,35745,100,70,0.7,2011-04-04
293,1280,35746,100,70,0.7,2011-04-04
293,1280,35747,100,70,0.7,2011-04-04
293,1280,35748,100,70,0.7,2011-04-04
293,1280,35749,100,70,0.7,2011-04-04
293,1280,35750,42.572,29.8,0.699990604,2011-04-04
293,1375,35751,10,7,0.7,2011-04-04
293,2310,35752,47.428,33.199,0.699987349,2011-04-04
293,2310,35753,100,70,0.7,2011-04-04
293,2310,35754,27.572,19.3,0.699985493,2011-04-04
293,722,35755,10,7,0.7,2011-04-04
293,956,35756,50,35,0.7,2011-04-04
293,1658,35757,10,6.7,0.67,2011-04-04
293,1375,35758,10,6.5,0.65,2011-04-04
293,1471,35759,100,62,0.62,2011-04-04
293,1,35760,100,61,0.61,2011-04-04
293,1,35761,100,61,0.61,2011-04-04
293,1,35762,100,61,0.61,2011-04-04
293,151,35763,90,58.499,0.649988889,2011-04-04
293,707,35764,41,27.469,0.66997561,2011-04-04
151,1087,35765,0.926,0.689,0.744060475,2011-04-04
151,3239,35766,187.688,137.952,0.735007033,2011-04-04
293,151,35767,49,32.829,0.669979592,2011-04-04
1347,151,35768,138.75,97.111,0.699899099,2011-04-04
293,151,35769,2.098,1.468,0.699714013,2011-04-04
293,2946,35770,10.33,7.23,0.699903195,2011-04-04
293,2946,35771,26.4,18.506,0.700984848,2011-04-04
293,100,35772,34.4,22.363,0.650087209,2011-04-04
293,151,35773,1.041,0.676,0.6493756,2011-04-04
293,100,35774,0.559,0.341,0.610017889,2011-04-04
